2019-06-21 13:49:40 [ERROR] - testWhileIdle is true, validationQuery not set
2019-06-21 13:57:18 [ERROR] - testWhileIdle is true, validationQuery not set
2019-06-21 14:07:57 [ERROR] - testWhileIdle is true, validationQuery not set
2019-06-21 14:56:37 [ERROR] - testWhileIdle is true, validationQuery not set
2019-06-21 15:35:05 [ERROR] - testWhileIdle is true, validationQuery not set
2019-06-21 15:36:02 [ERROR] - testWhileIdle is true, validationQuery not set
2019-06-21 15:40:11 [ERROR] - testWhileIdle is true, validationQuery not set
2019-06-21 15:56:48 [ERROR] - testWhileIdle is true, validationQuery not set
2019-06-21 15:59:10 [ERROR] - testWhileIdle is true, validationQuery not set
2019-06-21 16:08:01 [ERROR] - testWhileIdle is true, validationQuery not set
2019-06-21 16:09:52 [ERROR] - testWhileIdle is true, validationQuery not set
2019-06-21 16:15:48 [ERROR] - testWhileIdle is true, validationQuery not set
2019-06-21 16:16:53 [ERROR] - testWhileIdle is true, validationQuery not set
2019-06-21 16:22:22 [ERROR] - testWhileIdle is true, validationQuery not set
2019-06-21 16:59:48 [ERROR] - testWhileIdle is true, validationQuery not set
2019-06-21 17:19:54 [ERROR] - testWhileIdle is true, validationQuery not set
2019-06-21 17:21:20 [ERROR] - testWhileIdle is true, validationQuery not set
2019-06-21 17:24:27 [ERROR] - testWhileIdle is true, validationQuery not set
2019-06-21 17:28:19 [ERROR] - testWhileIdle is true, validationQuery not set
2019-06-21 17:29:44 [ERROR] - testWhileIdle is true, validationQuery not set
